*
*
*Imbalance Prices Service For Balancing (B1770) Data
*
*DocumentID,DocumentRevNum,ActiveFlag,ProcessType,DocumentType,Resolution,CurveType,PriceCategory,ImbalancePriceAmount,SettlementPeriod,SettlementDate,ControlArea,BusinessType,TimeSeriesID,DocumentStatus
ELX-EMFIP-IMBP-22442438,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,52,35,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22442307,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,50.8,34,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22442307,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,50.8,34,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22442222,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,52,33,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22442222,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,52,33,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22442094,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,50.8,32,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22442094,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,50.8,32,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22441918,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,7.5,31,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22441918,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,7.5,31,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22441781,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,7.5,30,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22441781,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,7.5,30,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22441660,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,50.75,29,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22441660,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,50.75,29,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22441534,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,51,28,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22441534,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,51,28,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22441395,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,51,27,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22441395,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,51,27,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22441252,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,51.9,26,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22441252,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,51.9,26,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22441123,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,51.9,25,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22441123,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,51.9,25,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22441011,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,7.5,24,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22441011,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,7.5,24,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22440864,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,25.59,23,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22440864,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,25.59,23,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22440704,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,51,22,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
ELX-EMFIP-IMBP-22440704,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Insufficient balance,51,22,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-1,Final
ELX-EMFIP-IMBP-22440571,1,Y,Realised,Imbalance prices,PT30M,Sequential fixed size block,Excess balance,51.9,21,2020-01-01,10YGB----------A,Balance energy deviation,ELX-EMFIP-IMBP-TS-2,Final
