*
*
*AcceptedAggregatedOffersService(B1780) Data
*
*Time Series ID,Business Type,Control Area,Settlement Date,Settlement Period,"Imbalance Quantity (MAW)",Curve Type,Resolution,Document Type,Process Type,Active Flag,Document Status,Document ID,Document RevNum,Imbalance Quantity Direction
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,22,44.7275,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22440705,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,21,141.0951,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22440572,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,20,2.0799,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22440419,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,19,188.995,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22440297,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,18,175.8663,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22440174,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,17,112.3367,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22440042,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,16,106.3583,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22439915,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,15,-7.6845,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22439745,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,14,145.2502,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22439622,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,13,-28.0957,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22439489,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,12,-225.6682,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22439361,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,11,-321.812,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22439245,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,10,-102.3296,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22439112,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,9,-45.8102,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22438976,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,8,34.4103,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22438823,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,7,155.8685,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22438699,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,6,-140.4158,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22438578,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,5,-90.9042,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22438445,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,4,-122.2322,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22438319,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,3,-71.4292,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22438190,1,DEFICIT
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,2,194.7133,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22438071,1,SURPLUS
ELX-EMFIP-AIMBV-TS-1,Balance energy deviation,10YGB----------A,2020-01-01,1,54.3365,Sequential fixed size block,PT30M,Imbalance volume,Realised,Y,Final,ELX-EMFIP-AIMBV-22437929,1,SURPLUS
<EOF>
